Saccade_Start,Saccade_End,Saccade_Type,Saccade_Duration,Saccade_Mean_Velocity,Saccade_Min_Velocity,Saccade_Max_Velocity,Saccade_Path_Length:
9796,9797,Standard,46,0.0007663296971885404,0.00034892431698038635,0.0011837350773966943,0.0652684673866399
9928,9930,Standard,63,0.0013108155921375758,0.0011460700513057653,0.001432490536204808,0.12440580630900247
10095,10096,Standard,31,0.001252842530207621,0.0003830161731427133,0.0021226688872725288,0.08418751181629865
10183,10184,Standard,46,0.0009809325043604303,0.00013551927136362373,0.0018263457373572367,0.08848403987343247
10757,10759,Standard,78,0.0011794276578598174,0.00013743685418725503,0.0018350274391390816,0.13460243421082563
10907,10908,Standard,31,0.0009995613530504924,0.00011457797461988317,0.0018845447314811015,0.06380605148304865
10924,10926,Standard,64,0.0013495322120972606,0.00040276819911981777,0.0023846980101001575,0.12762598838006906
11131,11134,Long,110,0.0014423501975041114,0.0006616477747093063,0.002846667459504183,0.1938920918975615
11237,11238,Standard,30,0.0017358487132343263,0.0004484541349024574,0.0030232432915661953,0.10415092279405956
11714,11715,Standard,32,0.0011952125227452516,0.0009123958466923193,0.0014780291987981837,0.07558120560900378
11929,11930,Standard,31,0.0009556692308014356,0.00010200895677962523,0.001809329504823246,0.05925149230968901
11959,11961,Standard,78,0.0012412275704796437,0.00047955060475220933,0.0019488783828378348,0.13615822363618907
12726,12728,Standard,63,0.0020268582799140926,0.0007837460127490273,0.003103657607047119,0.19329571003890775
12898,12899,Standard,32,0.0019295954896397045,0.0012275030703509967,0.0026316879089284123,0.1222666082665901
12901,12903,Standard,77,0.0018527495963368446,0.0010108062570399743,0.0031682452205878536,0.18531036735137832
12914,12918,Long,125,0.0026974519212346554,0.0002252819882874978,0.0040887653492424165,0.4452563382309618
12920,12922,Long,173,0.00161490222560762,0.0010752762455136075,0.0025880940881979624,0.26836023389040786
12975,12977,Long,92,0.00112891094508653,0.000787738608310424,0.001500953564404108,0.13081695746745012
12981,12982,Standard,30,0.0010036973100246848,0.0005736737422089316,0.001433720877840438,0.06136918608589895
12997,12999,Standard,62,0.0016738745032149355,0.0005466517401417474,0.0027280436620813493,0.15523586498447112
13040,13042,Standard,63,0.001959183204423324,0.0006067652449671129,0.0038569387553473032,0.18666774201168357
13049,13050,Standard,31,0.0020673127750684634,0.0008297872340425534,0.0033048383160943734,0.1414499877989256
13063,13065,Standard,78,0.0019016836633749005,0.0008804738105778171,0.00256051521871189,0.2175283709353791
13073,13074,Standard,30,0.0015707964452432387,0.0004849450444636422,0.0026566478460228354,0.09473273175905796
13232,13233,Standard,32,0.001709861227211308,0.0010266987395380347,0.002393023714884581,0.10840441980198567
13275,13276,Standard,33,0.0012046948820225666,0.0006863753427324669,0.0017230144213126663,0.077450736185292
13331,13333,Standard,63,0.0012550395914758298,0.000139754248593737,0.00182991672305585,0.11865388405862382
13368,13369,Standard,33,0.003153354022003658,0.001228350500945791,0.005078357543061525,0.20566466445034984
13372,13373,Standard,30,0.0013083396143564947,0.0012005028429631225,0.0014161763857498668,0.0797008797043528
13395,13396,Standard,33,0.0008658774643515024,0.00024567010018915853,0.0014860848285138462,0.05665657244682084
